order_detail_id,order_id,product_id,quantity,discount_percent,unit_price,total_price
1,1,23,2,6.83,1499.0,2793.16
2,2,188,2,21.27,1999.0,3147.75
3,2,310,1,21.01,1699.0,1341.96
4,2,344,1,1.4,2499.0,2464.03
5,2,50,1,4.1,1399.0,1341.7
6,3,277,1,11.42,1299.0,1150.68
7,3,354,1,6.22,2999.0,2812.37
8,3,145,1,5.0,1199.0,1139.01
9,3,195,1,5.7,1999.0,1885.08
10,4,103,1,2.65,939.0,914.15
11,5,79,1,3.43,1599.0,1544.11
12,5,276,1,13.49,1499.0,1296.72
13,5,88,2,11.91,1299.0,2288.45
14,5,274,1,0.41,3999.0,3982.49
15,6,173,2,27.51,1499.0,2173.1
16,6,229,1,8.59,1499.0,1370.27
17,6,183,1,18.33,1799.0,1469.24
18,7,158,1,10.36,949.0,850.64
19,8,367,1,19.57,1499.0,1205.65
20,9,70,1,4.36,1499.0,1433.59
21,9,73,1,18.56,1499.0,1220.85
22,10,374,2,9.26,399.0,724.09
23,11,31,1,4.05,1699.0,1630.15
24,11,221,2,12.85,399.0,695.48
25,11,204,2,13.5,1599.0,2766.36
26,11,285,2,15.88,2999.0,5045.5
27,12,105,1,14.03,1999.0,1718.49
28,13,216,1,14.8,449.0,382.53
29,13,53,2,2.64,1399.0,2724.13
30,14,56,2,23.45,1299.0,1988.84
31,14,219,1,7.69,449.0,414.49
32,14,181,3,4.04,2499.0,7194.21
33,14,45,2,20.05,1599.0,2556.84
34,14,273,1,9.65,1599.0,1444.75
35,15,63,1,9.31,849.0,769.99
36,15,202,1,23.18,1799.0,1382.02
37,16,318,1,12.46,299.0,261.74
38,16,167,3,14.09,1499.0,3863.27
39,17,174,2,8.1,1449.0,2663.15
40,17,231,1,17.82,1381.0,1134.9
41,18,357,1,1.54,2699.0,2657.41
42,19,359,1,0.47,3999.0,3980.17
43,19,85,1,2.13,1599.0,1564.92
44,20,204,1,14.5,1599.0,1367.15
45,20,320,1,0.43,279.0,277.81
46,20,143,1,19.31,879.0,709.27
47,20,21,1,13.47,2499.0,2162.32
48,20,294,1,13.28,1999.0,1733.52
49,20,237,3,9.29,1499.0,4079.09
50,21,33,1,18.62,2499.0,2033.58
51,22,286,1,5.08,1999.0,1897.53
52,22,180,5,2.88,2499.0,12135.3
53,22,366,1,11.14,499.0,443.39
54,22,325,2,11.2,199.0,353.43
55,23,350,1,11.16,3499.0,3108.55
56,23,75,1,1.99,1199.0,1175.14
57,23,332,2,5.62,2999.0,5661.09
58,23,26,1,6.74,999.0,931.69
59,23,171,1,1.53,1699.0,1673.03
60,23,251,1,1.6,999.0,982.98
61,24,330,1,19.65,1499.0,1204.42
62,24,378,1,6.96,2999.0,2790.17
63,24,81,1,7.96,1499.0,1379.62
64,24,221,1,0.92,399.0,395.33
65,24,60,1,4.5,1299.0,1240.55
66,24,143,2,14.69,879.0,1499.68
67,24,290,1,0.29,1299.0,1295.28
68,24,43,1,3.38,2999.0,2897.57
69,24,115,2,15.4,1999.0,3382.36
70,24,84,1,1.69,1299.0,1277.1
71,24,217,1,22.32,499.0,387.61
72,24,280,1,6.39,2499.0,2339.31
73,24,124,1,18.33,1299.0,1060.94
74,24,34,3,12.2,1499.0,3948.26
75,24,317,2,1.02,499.0,987.77
76,24,61,2,20.59,1199.0,1904.17
77,24,148,2,9.14,499.0,906.77
78,24,354,1,16.0,2999.0,2519.08
79,24,75,1,11.39,1199.0,1062.46
80,24,103,3,1.17,939.0,2784.12
81,24,325,2,1.86,199.0,390.59
82,25,352,2,8.14,1999.0,3672.61
83,25,163,1,16.9,599.0,497.78
84,25,346,1,7.03,2499.0,2323.27
85,26,18,1,13.86,449.0,386.78
86,26,3,1,0.93,599.0,593.4
87,26,39,5,2.44,2999.0,14629.83
88,26,270,1,15.58,1999.0,1687.54
89,27,305,1,7.59,1299.0,1200.41
90,27,109,1,8.53,10999.0,10060.5
91,28,317,2,9.73,499.0,900.93
92,29,226,1,7.77,1499.0,1382.47
93,29,270,2,17.52,1999.0,3297.47
94,29,145,1,12.53,1199.0,1048.74
95,30,54,2,13.72,999.0,1723.88
96,30,213,1,28.99,449.0,318.85
97,30,283,1,10.32,349.0,312.98
98,30,217,1,20.92,499.0,394.59
99,31,6,1,8.68,399.0,364.35
100,31,74,1,10.49,1399.0,1252.2
101,32,147,1,7.21,1429.0,1325.94
102,32,238,1,9.48,1599.0,1447.46
103,32,201,1,20.18,1799.0,1436.03
104,33,148,1,9.47,499.0,451.73
105,33,142,2,19.95,989.0,1583.33
106,33,76,1,8.86,1999.0,1821.93
107,33,52,1,3.66,1999.0,1925.79
108,34,282,1,5.08,1599.0,1517.74
109,34,17,2,6.85,699.0,1302.23
110,35,112,2,5.57,9999.0,18884.14
111,36,327,1,13.41,599.0,518.7
112,36,72,1,11.81,999.0,881.02
113,36,194,1,13.44,2199.0,1903.42
114,37,64,2,5.86,1899.0,3575.42
115,37,187,1,14.82,1999.0,1702.81
116,37,144,2,14.8,769.0,1310.33
117,37,195,1,1.97,1999.0,1959.57
118,38,309,1,11.61,1199.0,1059.74
119,38,70,1,6.69,1499.0,1398.67
120,39,117,1,20.63,1599.0,1269.16
121,40,221,2,16.92,399.0,662.95
122,40,322,1,16.36,949.0,793.71
123,41,134,3,8.23,549.0,1511.51
124,41,74,1,20.72,1399.0,1109.13
125,41,263,1,12.43,1299.0,1137.55
126,42,133,2,0.54,1799.0,3578.7
127,43,234,1,4.42,1999.0,1910.57
128,43,161,1,14.18,199.0,170.78
129,43,270,1,14.07,1999.0,1717.8
130,44,333,1,12.54,2699.0,2360.44
131,44,124,1,9.08,1299.0,1181.07
132,44,365,1,13.96,1499.0,1289.69
133,44,29,1,9.26,1381.0,1253.13
134,45,192,1,9.09,2999.0,2726.47
135,45,344,1,23.96,2499.0,1900.14
136,45,112,1,17.64,9999.0,8235.05
137,45,201,1,11.69,1799.0,1588.74
138,46,90,2,3.43,1999.0,3860.95
139,46,196,1,21.18,399.0,314.5
140,46,232,1,13.47,1999.0,1729.65
141,46,12,2,9.91,449.0,809.05
142,46,182,1,30.24,2499.0,1743.28
143,47,367,1,12.0,1499.0,1319.08
144,47,42,1,13.86,2999.0,2583.22
145,48,16,1,6.29,399.0,373.88
146,48,244,1,6.93,1299.0,1208.97
147,48,327,1,11.02,599.0,532.98
148,49,117,1,1.34,1599.0,1577.61
149,49,265,1,3.69,1799.0,1732.61
150,50,207,1,19.03,499.0,404.04
151,51,117,1,15.23,1599.0,1355.55
152,52,180,1,4.86,2499.0,2377.66
153,52,166,1,4.29,1499.0,1434.73
154,52,354,1,19.03,2999.0,2428.24
155,53,372,1,19.26,1599.0,1291.07
156,53,200,1,1.35,399.0,393.61
157,54,92,2,4.65,899.0,1714.31
158,54,365,1,19.37,1499.0,1208.57
159,54,61,2,6.67,1199.0,2238.08
160,54,122,1,2.42,1999.0,1950.53
161,54,11,1,10.67,499.0,445.73
162,54,187,1,0.57,1999.0,1987.69
163,55,332,2,5.85,2999.0,5646.88
164,55,307,1,22.32,879.0,682.78
165,56,44,1,11.11,4499.0,3999.17
166,57,51,2,16.08,1299.0,2180.18
167,57,241,1,21.46,2999.0,2355.55
168,57,86,1,5.93,3999.0,3762.0
169,57,348,1,11.76,4999.0,4411.02
170,57,246,1,18.77,1299.0,1055.16
171,57,313,1,1.8,299.0,293.62
172,58,237,2,3.58,1499.0,2890.62
173,58,256,3,8.14,1299.0,3579.74
174,58,134,1,13.01,549.0,477.59
175,58,222,1,11.4,699.0,619.33
176,59,143,2,12.9,879.0,1531.2
177,59,230,1,11.5,999.0,884.14
178,59,374,1,7.46,399.0,369.25
179,59,147,1,31.78,1429.0,974.84
180,60,50,1,14.69,1399.0,1193.45
181,61,101,2,0.7,3999.0,7941.78
182,61,80,1,2.77,3999.0,3888.41
183,62,301,1,8.01,999.0,919.0
184,62,364,1,9.53,3499.0,3165.41
185,63,4,1,16.33,449.0,375.7
186,63,280,1,6.4,2499.0,2339.15
187,63,259,1,10.79,849.0,757.42
188,63,341,1,8.43,3499.0,3204.06
189,64,16,1,20.54,399.0,317.04
190,64,197,1,10.01,1499.0,1348.89
191,65,157,1,3.6,799.0,770.26
192,65,195,1,18.88,1999.0,1621.52
193,65,211,1,4.73,599.0,570.67
194,65,310,1,1.4,1699.0,1675.26
195,66,38,2,0.7,1599.0,3175.62
196,67,351,1,19.04,1999.0,1618.36
197,68,337,1,6.22,1499.0,1405.82
198,68,173,2,4.18,1499.0,2872.76
199,69,70,1,7.39,1499.0,1388.25
200,69,279,1,0.13,1999.0,1996.38
201,70,144,1,3.4,769.0,742.82
202,70,102,1,8.86,899.0,819.35
203,71,335,1,21.19,1699.0,1338.96
204,71,205,1,11.82,1199.0,1057.29
205,71,219,1,8.53,449.0,410.7
206,71,53,1,13.73,1399.0,1206.86
207,72,159,2,7.26,949.0,1760.17
208,72,10,1,17.9,399.0,327.59
209,72,13,2,4.21,399.0,764.37
210,72,100,2,17.74,1999.0,3288.89
211,72,314,1,20.06,899.0,718.7
212,72,200,1,10.93,399.0,355.38
213,73,205,1,6.94,1199.0,1115.78
214,74,149,1,4.29,299.0,286.17
215,75,251,1,18.96,999.0,809.64
216,75,13,1,12.5,399.0,349.12
217,76,54,2,1.02,999.0,1977.71
218,77,67,2,25.26,1299.0,1941.82
219,77,137,1,10.78,999.0,891.29
220,77,336,1,4.67,1399.0,1333.62
221,77,103,2,12.39,939.0,1645.31
222,78,203,1,18.18,1599.0,1308.34
223,78,291,1,19.6,2299.0,1848.48
224,79,147,1,14.77,1429.0,1217.96
225,79,245,2,4.82,1299.0,2472.7
226,79,48,1,17.8,1299.0,1067.78
227,80,360,1,2.8,1599.0,1554.18
228,80,348,2,20.79,4999.0,7919.64
229,81,280,1,4.22,2499.0,2393.57
230,82,88,1,14.93,1299.0,1105.03
231,83,64,2,15.76,1899.0,3199.55
232,83,156,1,10.09,279.0,250.86
233,83,238,1,13.8,1599.0,1378.26
234,84,277,1,24.19,1299.0,984.72
235,85,161,1,13.84,199.0,171.46
236,86,282,2,14.94,1599.0,2720.31
237,86,283,2,2.9,349.0,677.75
238,87,110,3,10.47,6999.0,18798.39
239,87,74,2,11.52,1399.0,2475.79
240,88,209,2,2.86,1499.0,2912.21
241,88,218,1,10.87,699.0,623.02
242,88,309,2,10.3,1199.0,2150.92
243,88,161,1,7.7,199.0,183.68
244,88,66,1,14.46,999.0,854.56
245,89,361,1,9.9,2199.0,1981.4
246,89,262,1,14.19,999.0,857.22
247,89,89,1,8.09,1699.0,1561.48
248,89,70,1,26.2,1499.0,1106.3
249,89,246,1,0.07,1299.0,1298.07
250,90,289,1,17.95,2099.0,1722.29
251,91,203,1,5.61,1599.0,1509.26
252,91,312,1,14.81,499.0,425.08
253,92,99,2,17.43,1699.0,2805.87
254,92,156,1,4.44,279.0,266.62
255,92,57,2,4.78,1799.0,3426.14
256,92,373,2,7.25,1599.0,2966.25
257,92,334,1,0.17,1799.0,1795.91
258,92,85,1,14.42,1599.0,1368.35
259,93,210,2,13.28,849.0,1472.46
260,93,281,5,0.03,1599.0,7992.69
261,93,31,1,10.76,1699.0,1516.19
